Sentence,Emitens,Tweet Date,Sentiment
"Gk muluk muluk, 100,000 lot saham BBCA aja","('BBCA',)",29/02/2024,Positive
"BCA Expoversary 2024 menawarkan promo suku bunga spesial mulai dari 2,67% untuk KPR maupun KKB. [URL] [HASHTAG] [HASHTAG] [HASHTAG]",(),29/02/2024,Neutral
[USERNAME] saham bca nya menyusul ya ÅEÅEÅEÅE,(),29/02/2024,Positive
PT Bank BCA Syariah (BCA Syariah) turut memeriahkan BCA Expoversary 2024 dengan menawarkan beragam solusi pembiayaan syariah. [URL] [HASHTAG] [HASHTAG] [HASHTAG],(),29/02/2024,Neutral
"[USERNAME] Begitu byk saham kamu memilih saham itu kalau uangnya gede bisa nyicil big banks nder kalau koreksi lagi Big banks itu BBNI, BBRI, BBCA, BMRI","('BBNI', 'BBRI', 'BBCA', 'BMRI')",29/02/2024,Positive
"[USERNAME] Drpd bunga mending hal¬≤ yg berguna, yaaa minimal kek saham BCA satu slot, atau saham GG satu slot ehehehehhehe ÅEÅEÅEÅE",(),29/02/2024,Positive
"[USERNAME] [USERNAME] Pilihan RDN di Mirae Asset ada banyak ya mas. Tapi, untuk tarik dana bisa pake bank apa saja. Misalnya masnya pake rekening Blu ya mungkin nanti pas pembukaan akun bisa pake BCA untuk RDN.",(),29/02/2024,Neutral
[USERNAME] [USERNAME] pak buat sekuritas mirae apakah bisa pakai akun blu by bca?,(),29/02/2024,Neutral
"[USERNAME] Bbca, soalnya stabil",(),29/02/2024,Positive
Menggelar pameran masih menjadi salah satu strategi andalan perbankan untuk mendorong penyaluran kredit konsumer. Seperti yang dilakukan PT Bank Central Asia Tbk (BCA) dan PT Bank Mega Tbk yang awal tahun ini sudahÅEÄ¶ [URL] [HASHTAG] [HASHTAG] [HASHTAG],(),29/02/2024,Neutral
"[USERNAME] Jodoh dateng, duit 10M, sama saham (bca, bri, dll). Bismillah soon punya Aamiin",(),29/02/2024,Positive
"Indeks Bisnis-27 Melemah Tertekan Saham BBRI, BBCA, MAPI [URL]","('BBRI', 'BBCA', 'MAPI')",29/02/2024,Negative
[USERNAME] Bbca tahun 2020 karna yakin wkwkkw,(),29/02/2024,Positive
"[USERNAME] 2020 pas pandemi. Bbri, dikasih modal papa suruh ambil bca. Tapi kok mahal bangetÅEÅEÅE≠",(),29/02/2024,Negative
"[USERNAME] bbca, tapi dah dijual. bismillah taun ini kebeli lagi bbrp slot ÅEÅEÅEÅE",(),28/02/2024,Positive
"trs aku ngimpi, di mimpiku ada yg bilang 'minimal tuh punya 8lot saham bbca' APAAN DEHÅEÅEÅE≠ÅEÅEÅE≠ÅEÅE§£ÅEÅE§£ÅEÅE§£ÅEÅE§£ÅEÅE§£",(),28/02/2024,Positive
[USERNAME] [USERNAME] doakan suatu saat punya tu bbca,(),28/02/2024,Positive
"[USERNAME] Taruh di Mandiri 1 lot, BCA 1 lot udah habis tuh tidurrr buka lagi tahun depan",(),28/02/2024,Positive
[USERNAME] [USERNAME] 10 juta aja mau beli 90% saham BCA ÅEÅEÅEø,(),28/02/2024,Positive
Pengen punya saham BBCA 100 lot aja ya Allah wkwkwk,"('BBCA',)",28/02/2024,Positive
"komposisi investasi saya: - big 3 kripto (btc, eth, sol) - tech giant - saham as (aapl, msft, intc, nvda, adbe - saham bluechip bank indo (bca, bri, bni, mand) - obligasi (buat support negara/nasionalisme)",(),28/02/2024,Neutral
"rups (Rapat umum pemegang saham) tahunan bank bri, bank bni, bank mandiri Dan bank bca. Bank bri tanggal RUPS 1 maret 2024. Bank bni tanggal RUPS 4 maret 2024. Bank mandiri tanggal RUPS 7 maret 2024. Bank bca tanggal RUPS 14 2024. Kayanya semua membahas proyeksi dividen interim. [URL]",(),28/02/2024,Neutral
[USERNAME] guys kalian beli bbca pake app apa?,(),28/02/2024,Neutral
"[USERNAME] ( betul, dia kemaren abis beli saham BBCA 1000 lot )","('BBCA',)",28/02/2024,Neutral
